state_school_id,county,campus,school_type,number_of_students,percent_economically_disadvantaged,percent_eb_el_students,overall_score,metric,value,year,students_group
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,"College, Career, & Military Ready",91.7,2023,Economically Disadvantaged Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,"College, Career, & Military Ready",100.0,2023,Emergent Bilingual Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,English 1,54.0,2024,All Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,English 1,42.0,2024,Economically Disadvantaged Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,English 1,17.0,2024,Emergent Bilingual Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,English 2,66.0,2024,All Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,English 2,54.0,2024,Economically Disadvantaged Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,English 2,14.0,2024,Emergent Bilingual Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,SAT,967.0,2022,All Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,SAT,873.0,2022,Economically Disadvantaged Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,SAT,780.0,2022,Emergent Bilingual Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,SAT,1003.0,2023,All Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,SAT,958.0,2023,Economically Disadvantaged Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,SAT,,2023,Emergent Bilingual Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,US History,68.0,2024,All Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,US History,60.0,2024,Economically Disadvantaged Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,US History,38.0,2024,Emergent Bilingual Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,ACT,22.9,2022,All Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,ACT,17.4,2022,Economically Disadvantaged Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,ACT,,2022,Emergent Bilingual Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,ACT,19.6,2023,All Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,ACT,16.7,2023,Economically Disadvantaged Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,ACT,13.2,2023,Emergent Bilingual Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,Algebra 1,43.0,2024,All Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,Algebra 1,31.0,2024,Economically Disadvantaged Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,Algebra 1,31.0,2024,Emergent Bilingual Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,Biology,74.0,2024,All Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,Biology,49.0,2024,Economically Disadvantaged Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,Biology,42.0,2024,Emergent Bilingual Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,Chronic Absenteeism,20.1,2022,All Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,Chronic Absenteeism,31.7,2022,Economically Disadvantaged Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,Chronic Absenteeism,26.2,2022,Emergent Bilingual Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,Chronic Absenteeism,15.7,2023,All Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,Chronic Absenteeism,25.9,2023,Economically Disadvantaged Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,Chronic Absenteeism,28.3,2023,Emergent Bilingual Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,"College, Career, & Military Ready",71.3,2022,All Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,"College, Career, & Military Ready",54.1,2022,Economically Disadvantaged Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,"College, Career, & Military Ready",33.3,2022,Emergent Bilingual Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,"College, Career, & Military Ready",74.1,2023,All Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,"College, Career, & Military Ready",45.9,2023,Economically Disadvantaged Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,"College, Career, & Military Ready",33.3,2023,Emergent Bilingual Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,English 1,80.0,2024,All Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,English 1,59.0,2024,Economically Disadvantaged Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,English 1,54.0,2024,Emergent Bilingual Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,English 2,76.0,2024,All Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,English 2,59.0,2024,Economically Disadvantaged Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,English 2,42.0,2024,Emergent Bilingual Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,SAT,1136.0,2022,All Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,SAT,1170.0,2022,Economically Disadvantaged Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,SAT,,2022,Emergent Bilingual Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,SAT,1153.0,2023,All Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,SAT,,2023,Economically Disadvantaged Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,SAT,,2023,Emergent Bilingual Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,US History,78.0,2024,All Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,US History,62.0,2024,Economically Disadvantaged Students
TX-043903-043903001,Collin,Celina H S,High School,1172,20.0,6.1,89.0,US History,15.0,2024,Emergent Bilingual Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,ACT,27.4,2022,All Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,ACT,21.7,2022,Economically Disadvantaged Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,ACT,,2022,Emergent Bilingual Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,ACT,27.3,2023,All Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,ACT,23.0,2023,Economically Disadvantaged Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,ACT,,2023,Emergent Bilingual Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,Algebra 1,68.0,2024,All Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,Algebra 1,42.0,2024,Economically Disadvantaged Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,Algebra 1,50.0,2024,Emergent Bilingual Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,Biology,88.0,2024,All Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,Biology,56.0,2024,Economically Disadvantaged Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,Biology,70.0,2024,Emergent Bilingual Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,Chronic Absenteeism,18.1,2022,All Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,Chronic Absenteeism,38.6,2022,Economically Disadvantaged Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,Chronic Absenteeism,16.5,2022,Emergent Bilingual Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,Chronic Absenteeism,15.2,2023,All Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,Chronic Absenteeism,31.1,2023,Economically Disadvantaged Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,Chronic Absenteeism,14.6,2023,Emergent Bilingual Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,"College, Career, & Military Ready",80.3,2022,All Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,"College, Career, & Military Ready",57.9,2022,Economically Disadvantaged Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,"College, Career, & Military Ready",23.1,2022,Emergent Bilingual Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,"College, Career, & Military Ready",79.2,2023,All Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,"College, Career, & Military Ready",60.0,2023,Economically Disadvantaged Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,"College, Career, & Military Ready",52.9,2023,Emergent Bilingual Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,English 1,91.0,2024,All Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,English 1,68.0,2024,Economically Disadvantaged Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,English 1,68.0,2024,Emergent Bilingual Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,English 2,89.0,2024,All Students
TX-043905-043905002,Collin,Centennial H S,High School,2034,9.8,3.9,90.0,English 2,66.0,2024,Economically Disadvantaged Students
