city,total,male,male_no_schooling_completed,male_nursery_to_4th_grade,male_5th_and_6th_grade,male_7th_and_8th_grade,male_9th_grade,male_10th_grade,male_11th_grade,male_12th_grade_no_diploma,male_high_school_graduate_(includes_equivalency),male_some_college_less_than_1_year,male_some_college_1_or_more_years_no_degree,male_associates_degree,male_bachelors_degree,male_masters_degree,male_professional_school_degree,male_doctorate_degree,female,female_no_schooling_completed,female_nursery_to_4th_grade,female_5th_and_6th_grade,female_7th_and_8th_grade,female_9th_grade,female_10th_grade,female_11th_grade,female_12th_grade_no_diploma,female_high_school_graduate_(includes_equivalency),female_some_college_less_than_1_year,female_some_college_1_or_more_years_no_degree,female_associates_degree,female_bachelors_degree,female_masters_degree,female_professional_school_degree,female_doctorate_degree
Hebron,195,99,0,0,0,0,0,1,0,0,30,2,6,0,42,16,1,1,96,0,0,0,0,0,0,0,0,28,2,6,2,34,20,2,2
Josephine,2773,1376,10,0,34,36,45,8,0,13,407,151,208,55,327,76,6,0,1397,9,0,74,22,5,0,44,21,363,143,157,100,384,75,0,0
Lavon,3552,1709,19,0,0,0,0,0,12,0,420,177,330,93,431,194,10,23,1843,0,0,0,8,0,0,20,81,346,96,314,321,413,208,10,26
Lowry Crossing,1361,715,10,4,37,8,5,3,12,16,151,33,162,71,151,49,0,3,646,12,0,27,4,0,0,2,5,146,46,132,77,137,47,11,0
Lucas,5414,2881,0,0,0,0,0,11,11,0,194,78,372,150,1308,448,309,0,2533,0,0,0,0,2,12,0,24,256,152,518,197,908,315,133,16
McKinney,130623,64383,613,137,790,368,283,223,235,515,9534,3126,8445,5256,22378,10540,962,978,66240,700,289,775,99,248,207,290,734,10549,3888,8827,5816,22207,9224,1263,1124
Melissa,10726,5512,19,0,0,68,79,79,0,133,802,277,759,365,2152,710,12,57,5214,0,0,22,0,0,59,106,9,1152,387,489,320,1790,709,96,75
Murphy,12688,6201,114,0,58,21,0,0,0,62,978,319,483,625,1894,1210,247,190,6487,69,63,20,0,141,31,0,37,683,317,951,502,2040,1254,307,72
Nevada,861,449,0,0,0,0,9,0,10,9,106,29,95,41,114,36,0,0,412,0,0,0,3,3,11,3,3,93,36,68,22,125,38,7,0
New Hope,552,254,2,0,0,0,3,2,0,0,56,24,64,19,69,15,0,0,298,1,0,0,0,0,0,0,0,114,13,55,24,71,20,0,0
Parker,3790,1696,10,0,18,11,0,84,14,56,84,44,130,35,498,584,71,57,2094,20,0,0,0,85,14,190,0,157,186,78,61,983,221,99,0
Plano,201258,98177,1455,490,739,503,680,474,350,1034,11319,3256,11192,5725,34931,19563,3630,2836,103081,1720,452,908,459,321,602,475,1447,14324,4852,11967,7402,35697,18476,2269,1710
Princeton,12660,6363,34,0,64,0,98,0,34,78,2164,476,961,697,1302,376,31,48,6297,152,0,141,36,58,13,246,200,1417,361,1136,711,1430,396,0,0
Prosper,21068,10474,20,76,29,31,21,126,1,107,1024,589,918,544,4492,1903,385,208,10594,26,0,30,0,8,80,16,73,1424,498,1286,759,4264,1719,307,104
Richardson,78285,37270,686,83,365,376,271,56,159,423,4538,2066,4162,3155,12413,5674,1772,1071,41015,973,212,269,311,269,302,83,506,4811,1972,4837,3368,13509,7579,1316,698
Royse City,10940,5472,109,0,12,32,0,24,42,279,1633,383,1206,462,852,399,19,20,5468,256,102,10,17,57,35,28,125,1334,627,623,349,1299,527,7,72
Sachse,19656,9317,191,0,0,14,68,61,126,39,1876,250,1136,702,3080,1497,194,83,10339,97,60,267,19,51,15,23,83,2268,1252,1137,598,2961,1269,125,114
St. Paul,669,336,0,0,5,1,0,0,0,8,60,28,51,52,110,19,0,2,333,1,0,0,0,0,1,2,11,68,23,53,39,102,31,2,0
