city,total,less_than_10000,10000_to_14999,15000_to_19999,20000_to_24999,25000_to_29999,30000_to_34999,35000_to_39999,40000_to_49999,50000_to_59999,60000_to_69999,70000_to_79999,80000_to_89999,90000_to_99999,100000_to_124999,125000_to_149999,150000_to_174999,175000_to_199999,200000_to_249999,250000_to_299999,300000_to_399999,400000_to_499999,500000_to_749999,750000_to_999999,1000000_to_1499999,1500000_to_1999999,2000000_or_more
Murphy,5329,16,0,0,0,0,23,74,20,0,8,45,9,0,8,0,22,14,34,174,766,1382,2036,624,7,37,30
Nevada,410,4,2,3,0,0,0,0,17,0,0,3,0,0,2,4,7,11,36,30,88,101,102,0,0,0,0
New Hope,224,0,0,0,0,2,0,0,2,0,0,0,2,0,0,1,0,9,8,46,38,72,38,6,0,0,0
Parker,1525,0,0,0,0,0,0,0,0,0,0,0,6,39,0,0,0,0,28,0,5,132,328,550,287,109,41
Plano,62592,360,230,165,79,94,154,55,44,9,15,0,48,34,193,201,572,744,2190,4630,15421,14925,15945,3727,1518,751,488
Princeton,5448,49,0,43,25,225,0,0,17,0,32,0,0,9,96,46,213,68,644,1036,2061,544,295,19,0,0,26
Prosper,8896,18,0,0,0,0,0,0,22,0,18,21,0,0,51,7,19,0,160,55,370,938,3557,2138,1131,248,143
Richardson,23104,191,14,19,61,19,72,31,38,57,5,0,13,28,145,92,480,590,1139,2037,6205,5625,4957,834,294,99,59
Royse City,5067,94,17,0,0,13,183,0,0,0,0,0,0,0,77,101,319,196,802,953,1399,428,423,62,0,0,0
Sachse,8791,120,0,0,0,0,43,0,10,84,0,0,99,42,40,0,129,51,1022,1287,2221,1532,1825,195,91,0,0
St. Paul,307,1,3,0,0,0,3,0,1,0,0,2,1,0,9,0,16,2,8,22,38,63,101,24,10,3,0
Seis Lagos,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,35,77,132,94,36,0,0
Trenton,192,0,0,0,5,4,7,0,0,10,0,3,2,12,23,26,22,16,34,8,12,4,4,0,0,0,0
Van Alstyne,1401,23,0,0,0,0,0,30,0,0,0,0,18,0,27,0,70,216,142,184,415,119,131,26,0,0,0
