city,total,in_family_households,in_married-couple_family,in_married-couple_family_relatives,in_married-couple_family_nonrelatives,in_male_householder_no_spouse_present_family,in_male_householder_no_spouse_present_family_relatives,in_male_householder_no_spouse_present_family_nonrelatives,in_female_householder_no_spouse_present_family,in_female_householder_no_spouse_present_family_relatives,in_female_householder_no_spouse_present_family_nonrelatives,in_nonfamily_households
Sachse,29075,26321,22191,22147,44,1220,1059,161,2910,2894,16,2754
St. Paul,982,913,813,813,0,20,20,0,80,72,8,69
Seis Lagos,1160,1149,990,990,0,136,136,0,23,23,0,11
Trenton,675,577,471,469,2,26,26,0,80,80,0,98
Van Alstyne,5326,4847,3552,3552,0,497,472,25,798,798,0,479
Westminster,1098,1013,463,463,0,381,327,54,169,169,0,85
Weston,226,221,184,184,0,0,0,0,37,37,0,5
Wylie,58829,54214,44562,44071,491,2774,2607,167,6878,6753,125,4615
Addison,17128,9189,6137,6038,99,1251,1079,172,1801,1734,67,7939
Balch Springs,27070,24535,16398,16175,223,2423,2186,237,5714,5517,197,2535
Bear Creek Ranch,1897,1548,1118,1118,0,73,73,0,357,357,0,349
Cedar Hill,48156,42269,28649,28503,146,2820,2469,351,10800,9999,801,5887
Cockrell Hill,3736,3362,1977,1957,20,305,293,12,1080,1065,15,374
Combine,2769,2631,2226,2213,13,165,165,0,240,214,26,138
Coppell,41953,37833,32351,32293,58,1980,1866,114,3502,3357,145,4120
DeSoto,55345,47372,30307,30128,179,3804,3577,227,13261,12554,707,7973
Duncanville,39634,35598,22890,22534,356,3545,3183,362,9163,8888,275,4036
Farmers Branch,36123,28240,20845,20594,251,1892,1712,180,5503,5182,321,7883
Ferris,2932,2802,2381,2367,14,32,32,0,389,381,8,130
Glenn Heights,17175,15550,10892,10892,0,848,741,107,3810,3524,286,1625
Grand Prairie,198094,174980,127324,126290,1034,12048,11019,1029,35608,34055,1553,23114
Grapevine,50564,40636,33128,32952,176,2409,2265,144,5099,4957,142,9928
Highland Park,8774,7877,7391,7347,44,99,99,0,387,387,0,897
Hutchins,4715,4009,1696,1696,0,625,581,44,1688,1555,133,706
Irving,253515,212935,156996,156149,847,17810,15903,1907,38129,35542,2587,40580
Lancaster,40299,35071,21753,21469,284,2971,2771,200,10347,9970,377,5228
Lewisville,127849,104393,74713,74107,606,8795,7849,946,20885,19617,1268,23456
Mesquite,148234,132638,82544,81866,678,13376,11798,1578,36718,34415,2303,15596
Ovilla,4239,3995,3512,3512,0,0,0,0,483,483,0,244
Rowlett,63795,58371,47082,46837,245,3084,2884,200,8205,7733,472,5424
Seagoville,16992,15263,10026,9989,37,2942,2317,625,2295,2238,57,1729
Sunnyvale,8069,7866,6540,6524,16,78,57,21,1248,1202,46,203
University Park,21942,20499,18093,18067,26,1195,1111,84,1211,1189,22,1443
Wilmer,5500,5010,2974,2877,97,267,221,46,1769,1769,0,490
Argyle,4970,4728,4336,4275,61,314,314,0,78,78,0,242
Aubrey,6637,5441,3875,3818,57,292,222,70,1274,1222,52,1196
Bartonville,2022,1855,1772,1757,15,40,37,3,43,43,0,167
Copper Canyon,2257,2198,2053,2049,4,21,21,0,124,124,0,59
Corinth,22812,20674,17629,17555,74,819,798,21,2226,2063,163,2138
Cross Roads,2080,1882,1669,1669,0,65,65,0,148,128,20,198
Denton,137404,102556,76700,75721,979,8295,7048,1247,17561,16381,1180,34848
DISH,614,585,553,549,4,0,0,0,32,30,2,29
Double Oak,3046,2923,2521,2521,0,127,123,4,275,268,7,123
Flower Mound,77634,71116,62773,62296,477,2887,2674,213,5456,5202,254,6518
Fort Worth,923788,780153,545311,541196,4115,60895,53964,6931,173947,164100,9847,143635
Hackberry,2927,2667,2155,2129,26,78,66,12,434,417,17,260
